position	knownEM
1001	0.7898792673719593
2002	0.4298733188520635
3003	0.6897843203865909
4004	0.44515248663896245
5005	0.6753766500458094
6006	0.43618215734779986
7007	0.6918210132375886
8008	0.444250941337731
9009	0.5269807118318839
10010	0.8936316740487416
11011	0.5269496157864414
12012	0.882089945990189
13013	0.8572542654256905
14014	0.7824525744177808
15015	0.5621981539285203
16016	0.26929920571066096
17017	0.8727220836055771
18018	0.7934613855348674
19019	0.5140438399116939
20020	0.47290122326211226
21021	0.8140025391834244
22022	0.5749857443479144
23023	0.6270883913454253
24024	0.5477858503865838
25025	0.36559947024884965
26026	0.2721511767538908
27027	0.1286677759230778
28028	0.12616979557538813
29029	0.30549269341213114
30030	0.44682258727357915
31031	0.3966036385868664
32032	0.6588000469338096
33033	0.7142080155337296
34034	0.2166386272046312
35035	0.8639949028694004
36036	0.19601384342166064
37037	0.20021361537450694
38038	0.7050197322391496
39039	0.23622679178554007
40040	0.6309930538215957
41041	0.8457281801364916
42042	0.7157324722884036
43043	0.7177501675001511
44044	0.6282972245568751
45045	0.8021020087626348
46046	0.77979365409064
47047	0.5363678726978529
48048	0.3917877962119497
49049	0.8853445498863722
50050	0.2848560002890277
51051	0.42523986992177654
52052	0.4976419231718672
53053	0.4170989682820121
54054	0.7933751277061702
55055	0.5042051873360905
56056	0.2821215837298652
57057	0.3972100215917709
58058	0.3940412257479413
59059	0.5350424506523861
60060	0.7953345928923377
61061	0.3706827978466327
62062	0.5917078989774888
63063	0.8626051174581797
64064	0.11504393456329894
65065	0.47312879742393954
66066	0.841751804251423
67067	0.2132965862897317
68068	0.17160730579186778
69069	0.6132934931943324
70070	0.322773323273178
71071	0.47250914427004553
72072	0.8925860050095178
73073	0.8018680543236066
74074	0.7621601919859288
75075	0.13488857369590868
76076	0.18392141791391803
77077	0.7611946785035257
78078	0.6972208951360822
79079	0.306826051205611
80080	0.18033982612900498
81081	0.11571716347696254
82082	0.392867294493227
83083	0.35945576556649117
84084	0.3438191574677507
85085	0.8684793817887554
